Original,Synonyms
student,scholar
bangalore,Bengaluru
iiit,tech-institute
iiit bangalore,IIIT-B
campus,premises
science,STEM
engineering,technology
research,inquiry
semester,term
hostel,dormitory
program,course
year,batch
cse,computing
ece,electronics
fee,tuition
communication,interaction
time,schedule
mode,format
btech,undergraduate
application,submission
elective,specialization
alumnus,graduate
lpa,package
email,mail
average,mean
median,midpoint
system,platform
electronic,digital
club,society
workshop,seminar
computer,workstation
cbcs,curriculum
admission,enrollment
phd,doctorate
event,gathering
mtech,postgraduate
class,lecture
room,hall
master,MSc
computer science,CS
msc,postgraduate-degree
interview,interaction
tuition,fees
internship,training
technology,innovation
mess,canteen
course,subject
society,club
pgp,MBA
dpdm,data program
electronic communication engineering,ECE
lab,laboratory
imtech,integrated program
annum,year
month,duration
specialization,focus
degree,qualification
pgp dpdm,postgraduate program
document,file
ctc,salary
mathematic,math
digital society,tech community
test,exam
performance,result
lakh,100000
intelligence,reasoning
choice,selection
credit,unit
management,administration
choice base credit system,CBCS
office,admin
applicant,candidate
score,marks
maximum,highest
institute,college
offer,proposal
data,information
thesis,dissertation
july,summer
artificial intelligence,AI
interdisciplinary course,cross-discipline
hour,time
certificate,credential
april,spring
gate,entrance exam
webinar,online seminar
project,assignment
activity,event
issue,concern
sport,athletics
day,date
collaboration,partnership
facility,amenity
charge,fee
insurance,coverage
scholarship,grant
tuition fee,academic fee
hostel facility fee,housing fee
mess charge,dining fee
medical insurance,health coverage
vacation,break
complaint,grievance
datum,data point
software,application
learning,education
design,layout
data science,analytics
query,question
mark,grade
jee,entrance test
scorecard,result sheet
deadline,due date
selection,admission
entrance,access
require document,needed paperwork
session,term
fund,grant
faculty,professor
committee,panel
recruiter,employer
networking,connection
postgraduate,graduate
submission,upload
bengaluru,Bangalore
distance,commute
bmtc,city transport
bus,shuttle
ext,extension
prof,professor
friday,weekday
leave,absence
june,summer
detail,information
march,spring
startup,venture
donation,contribution
manager,coordinator
skill,competency
development,growth
google,tech company
classroom,lecture hall
tech,technology
platform,system
basketball,hoops
football,soccer
volleyball,court game
spandan,college fest
staff,personnel
competition,contest
standard,guideline
refund,reimbursement
approval,authorization
canteen,cafeteria
change,update
violation,breach
alcohol,liquor
use,usage
access,entry
deposit,security
menu,meal list
stipend,allowance
job,employment
high time ctc,top salary
high internship stipend,premium allowance
internship thesis offer,research internship
examination,test
area,zone
dismissal,expulsion
suspension,hold
absence,leave
illness,sickness
permission,approval
grant,scholarship
coursework,curriculum
focus,concentration
product,output
integrate,combine
majestic,bus station
route,path
bmtc bus,public transport
contact,communication
registrar,admin head
record,log
monday,weekday
procedure,process
transcript,grade sheet
graduate,alumnus
cat,entrance exam
ceed,design exam
application fee,registration cost
application deadline,last date
entrance test scorecard,exam result
february,spring month
programming,coding
art,fine arts
woman,female student
photography,photo club
editing,post-production
theatre,drama
